ID,country_satis,econ_sit,children_betteroff2,satisfied_democracy,financial20yr,diversity20yr,diversity20yr_fu,gender20yr,gender20yr_fu,religion20yr,religion20yr_fu,family20yr,family20yr_fu,fav_US,fav_China,fav_Russia,fav_India,fav_Pak,fav_Japan,partyfav_india_BJP,intthreat_chpower,INTTHREAT_USPOWER,intthreat_ruspower,intthreat_climatechange,intthreat_isis,intthreat_cyber,intthreat_NKorea,intthreat_econcondition,trade,trade_wages,trade_jobs,trade_prices,econ_power,respect_china,respect_us,US_WORLD_ROLE,world_role_China,world_role_russia,world_role_india,world_role_germany,world_role_UK,world_role_france,worldleader_USChina,describecountry_officials,describecountry_court,describecountry_corrupt,describecountry_walk,describecountry_election,describecountry_views,describecountry_sol,confid_trump,confid_xi,confid_putin,confid_merkel,confid_macron,confid_abe,confid_modi,USREL_BETTERWORSE,involved_US,interest_surveycountry,use_internet,own_cell_standalone,smartphone,social_net,cyberattack_infrastructure,cyberattack_elections,cyberattack_natsec,preparedcyberattack,prob_leaving,immig_moreless,planmove,whymove_jobs,whymove_violence,whymove_educ,whymove_family,prob_crime,prob_employ_opp,prob_rich_poor,prob_corrupt_biz,prob_terror,prob_rise_prices,prob_corrupt_officials,prob_air_pollution,prob_communal_relations,prob_schools,prob_healthcare,prob_Kashmir,fiveyears_prob_job,fiveyears_prob_terror,fiveyears_prob_corrupt,fiveyears_prob_richpoor,fiveyears_prob_comrel,fiveyears_prob_air,fiveyears_prob_prices,fiveyears_prob_Kashmir,Kashmir_military,fiveyears_rel_China,fiveyears_rel_Russia,fiveyears_rel_Pak,fiveyears_rel_US,indiaus_ties_mil,indiaus_ties_econ,threat_let,threat_pak,threat_china,sex,age,d_relig_india_A,d_relig2_india_A,evil_spirits,relbehavior_marking,relbehavior_symbols,relbehavior_altar,relbehavior_food,sexselect_abortion,relparticipate_sing,relparticipate_story,relparticipate_prayer,religion_import,d_educ_india,d_income_india,d_hhpeople,d_adult_us,d_ptyid_proximity_india,d_homephone_us,d_hhcell
11,1,1,1,2,1,1,1,1,1,1,1,1,1,8,8,8,1,4,8,4,2,8,8,1,8,8,2,3,2,1,8,1,8,8,8,8,8,8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,8,8,8,2,8,NA,2,8,8,8,8,8,8,2,8,8,2,8,2,2,4,3,2,3,1,2,2,2,3,2,4,2,4,4,4,8,5,4,1,8,8,4,8,8,8,3,4,4,2,35,1,13,2,2,2,1,1,2,1,1,1,1,1,4,2,2,27,2,1
12,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,2,4,8,2,8,8,1,8,8,8,8,8,1,1,1,1,1,8,8,1,8,8,1,8,8,1,8,3,4,4,3,4,4,4,8,8,8,8,8,8,2,8,1,1,2,2,NA,2,8,8,8,8,2,4,2,8,8,8,8,1,2,2,1,1,2,2,3,1,1,1,4,4,4,4,4,4,4,4,4,1,8,8,4,8,9,8,2,2,8,2,35,1,13,2,2,2,1,2,2,2,2,2,2,5,4,1,NA,27,2,NA
13,1,1,2,4,1,2,2,1,1,2,2,2,2,8,8,8,1,4,8,1,8,8,8,8,8,8,8,8,1,1,1,1,1,8,8,1,8,8,1,8,8,8,8,4,4,4,4,2,4,8,8,8,3,8,8,8,1,1,8,2,1,1,1,1,8,3,1,2,1,4,2,1,8,4,8,2,2,1,1,2,1,2,2,1,1,1,1,4,4,4,4,4,4,4,4,1,8,8,4,8,8,8,2,2,8,2,30,1,13,2,1,1,1,1,2,1,1,1,1,6,7,4,2,27,2,NA
14,8,2,1,2,1,1,1,1,1,1,1,1,1,8,8,8,1,4,8,2,8,8,2,1,8,8,2,2,2,1,1,2,1,8,8,1,8,8,1,8,8,8,1,4,4,4,4,4,4,4,8,4,8,8,8,8,1,1,1,4,2,1,2,2,8,8,4,1,1,1,2,4,2,4,4,2,1,1,3,2,2,2,1,1,2,2,3,4,4,4,4,4,4,4,3,1,8,8,4,8,8,8,1,2,8,1,27,1,13,2,1,1,1,1,2,2,1,2,1,6,7,4,2,27,2,NA
15,1,4,1,1,1,1,1,1,1,1,1,1,1,8,8,8,3,4,8,4,8,8,8,8,8,8,8,9,2,1,2,8,8,8,8,8,8,8,1,8,8,8,8,3,8,4,3,3,4,8,8,4,8,8,8,4,1,8,8,8,2,2,NA,2,8,5,8,8,1,4,2,8,8,4,8,4,2,2,3,2,2,1,2,2,2,2,4,3,4,4,4,4,4,8,4,8,8,8,4,8,8,4,2,4,4,2,30,1,13,2,1,1,1,1,2,2,1,1,2,4,4,4,2,27,2,1
16,2,2,2,3,1,2,1,2,2,3,1,2,2,1,2,8,2,4,8,2,2,3,8,1,2,1,8,2,1,2,1,1,4,1,2,1,2,1,1,2,8,3,1,4,2,4,2,3,1,1,1,8,2,2,8,2,2,3,2,2,1,1,1,1,3,2,1,2,2,2,2,1,4,1,4,2,2,2,1,3,2,1,3,3,3,2,3,2,3,3,2,2,2,2,2,3,2,1,4,3,1,1,4,4,2,1,28,1,13,2,2,2,1,1,2,2,1,1,1,10,9,2,2,27,2,NA
17,8,4,1,1,1,1,1,1,1,1,1,1,1,8,8,8,1,4,8,1,8,8,3,2,8,8,3,3,1,1,1,1,1,8,8,1,8,8,1,8,8,8,1,4,4,4,4,4,4,4,2,3,2,3,2,2,2,1,1,1,1,1,1,8,4,8,8,8,1,4,2,4,8,3,3,4,4,3,4,4,4,4,4,2,3,2,4,4,3,4,4,4,2,4,4,1,3,3,3,4,2,3,2,1,8,1,60,1,13,2,1,2,1,1,2,1,1,1,2,5,6,6,5,27,2,NA
18,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,1,3,8,8,8,1,8,8,8,8,8,8,1,1,1,1,1,8,8,1,8,8,1,8,8,8,1,1,2,2,2,1,2,3,8,8,8,8,8,8,2,1,1,1,2,1,2,2,2,3,3,8,1,1,2,3,2,2,2,1,2,2,1,2,1,2,3,2,2,1,2,2,3,3,3,3,4,3,3,1,2,2,3,2,2,4,2,2,2,2,42,1,13,2,2,1,1,1,2,1,2,2,1,5,5,4,2,27,2,NA
19,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,3,1,4,8,3,2,8,2,2,1,3,8,2,1,1,1,2,1,8,1,1,2,2,2,3,2,8,8,4,3,3,4,4,3,8,8,8,8,8,8,8,2,1,8,2,2,1,2,2,8,8,8,8,1,4,2,2,3,2,4,1,2,2,2,2,1,2,2,2,2,3,3,4,2,3,4,3,4,4,4,1,8,8,8,8,8,8,2,1,8,2,29,1,13,2,1,1,1,1,2,2,2,2,2,5,4,2,2,27,2,NA
20,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,1,4,4,1,9,8,8,8,8,8,8,8,1,1,1,1,1,8,8,1,8,8,1,8,8,8,1,4,4,3,3,4,4,4,8,8,8,8,8,8,1,1,1,1,2,1,1,1,8,8,8,8,1,1,2,2,4,4,3,2,2,3,2,2,2,2,2,2,2,1,3,3,4,4,4,3,3,4,4,8,4,5,4,3,8,8,2,2,8,2,23,1,13,2,1,1,1,1,2,1,1,1,1,6,6,4,3,17,2,NA
21,8,2,1,3,1,1,1,1,1,1,1,1,1,1,8,8,1,4,8,1,8,8,8,2,8,8,8,8,1,1,1,8,1,8,8,1,8,8,1,8,8,8,8,4,4,4,4,4,4,4,4,8,8,8,8,8,1,1,1,1,2,1,2,2,8,8,8,8,1,4,2,8,8,1,3,2,2,1,2,2,1,2,3,2,2,1,2,4,4,4,4,4,3,3,3,1,8,5,4,8,2,8,2,1,8,1,32,1,13,2,1,1,1,1,2,1,1,1,1,7,6,8,6,27,2,NA
22,2,2,2,2,3,3,2,1,1,3,2,3,2,2,2,1,1,4,1,4,1,2,2,1,1,1,1,2,1,2,1,2,1,2,1,2,1,1,1,1,1,1,1,3,1,4,3,3,1,1,2,1,1,2,1,1,3,1,1,1,1,1,1,1,1,1,3,2,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,4,3,4,1,2,1,4,2,2,1,1,1,2,2,30,1,13,2,2,1,1,1,2,1,1,1,1,10,9,4,2,27,2,NA
23,2,3,1,3,1,1,1,1,1,1,1,2,1,1,4,4,1,4,4,4,2,2,1,8,8,8,8,8,4,1,1,1,1,8,8,1,8,8,2,8,8,8,4,4,4,2,4,4,8,8,8,8,8,9,8,8,2,8,1,8,1,1,1,1,8,4,8,1,2,3,2,2,8,1,8,2,3,2,2,2,2,1,2,1,1,2,1,3,3,4,2,1,3,2,2,1,8,8,4,8,8,8,2,1,2,1,18,1,13,2,1,1,1,1,2,1,1,1,1,6,5,4,4,27,2,NA
24,1,2,1,2,1,3,1,1,1,8,NA,2,2,2,8,8,4,8,4,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,8,8,8,8,4,4,4,4,4,4,4,8,8,8,8,8,8,1,2,8,8,2,2,NA,2,8,8,8,8,8,4,8,8,8,8,8,2,3,1,2,2,2,2,2,3,2,1,2,4,4,4,3,3,4,3,4,1,5,5,4,5,1,2,2,3,4,2,30,1,13,2,1,2,1,2,2,1,1,1,2,1,8,8,6,27,2,1
25,1,1,1,2,1,1,1,1,1,1,1,1,1,3,8,8,3,8,8,2,9,8,2,8,8,8,2,8,1,2,1,1,1,8,1,1,8,8,1,8,8,8,1,4,3,3,4,4,4,4,8,8,8,8,8,8,2,1,1,8,2,2,NA,2,8,8,8,8,4,4,2,8,9,4,3,3,2,3,3,2,2,1,3,2,3,2,2,3,4,3,3,3,4,3,3,8,5,8,4,8,8,9,2,2,2,2,40,1,13,2,2,2,1,1,2,1,1,1,1,5,5,5,4,27,2,1
26,1,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,2,4,4,3,2,2,3,2,2,8,2,2,1,1,1,1,1,8,9,1,2,8,1,8,8,8,1,4,4,4,3,4,4,4,8,8,8,8,8,8,2,1,1,8,2,1,2,2,8,4,8,1,4,3,2,3,2,2,4,4,2,4,2,4,3,2,3,3,2,3,2,3,2,2,1,3,5,3,3,1,5,5,8,4,8,8,1,2,8,2,35,1,13,2,1,2,1,1,2,1,2,2,2,6,5,3,2,27,2,NA
27,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,8,1,4,8,3,8,8,8,2,8,8,8,8,1,1,1,1,1,8,8,1,8,9,1,8,8,8,1,3,4,4,3,3,3,3,8,8,8,8,8,8,2,1,1,1,2,1,2,2,4,3,3,8,1,4,2,2,4,4,4,2,1,2,2,2,2,1,2,2,2,2,1,3,3,4,3,4,4,4,4,1,5,5,2,5,8,8,1,2,3,1,45,1,13,2,1,1,1,1,2,1,1,1,1,5,4,3,2,27,2,NA
28,1,1,1,1,1,1,1,1,1,1,1,1,1,8,8,8,2,4,8,3,3,2,3,8,1,3,3,2,1,1,1,2,1,8,8,1,8,8,1,8,8,9,2,4,3,4,4,4,3,4,8,8,8,8,8,8,2,1,1,1,2,1,2,2,8,8,8,8,1,4,2,8,8,1,8,2,2,3,2,1,3,2,2,2,2,2,3,4,3,2,3,2,2,4,4,1,8,8,4,8,4,4,2,3,4,2,45,1,13,2,2,2,1,1,2,8,2,2,1,5,4,2,2,27,2,NA
29,1,1,1,1,1,1,1,1,1,1,1,1,1,2,8,8,2,2,8,3,2,2,2,2,2,2,2,2,1,1,1,1,8,9,8,1,8,1,2,8,8,8,1,4,8,4,4,3,3,4,8,8,8,3,8,8,1,1,1,1,2,1,2,2,3,2,1,2,1,4,2,3,2,2,4,2,2,1,1,3,2,2,3,3,1,2,2,3,4,4,3,3,3,4,3,1,8,8,4,2,4,8,2,3,8,1,35,1,13,2,1,1,1,1,2,2,2,2,1,4,6,2,2,27,2,NA
30,2,1,1,1,2,1,2,1,2,1,2,1,1,4,8,3,1,3,3,2,8,3,8,2,8,8,8,3,1,2,1,1,1,1,8,1,8,8,8,2,8,8,4,2,3,2,2,1,1,1,4,3,8,4,8,8,1,1,1,1,2,1,1,1,4,4,5,1,3,2,2,4,3,8,8,1,4,3,4,2,2,3,2,4,4,4,3,9,2,3,3,3,2,3,2,1,1,3,3,2,2,4,1,3,3,2,22,1,13,2,1,2,1,1,2,2,1,1,2,4,4,2,2,27,2,NA
31,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,2,1,3,2,3,8,8,8,8,1,2,1,3,1,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,1,2,2,2,2,1,8,8,8,8,8,8,1,1,1,1,2,1,2,2,3,3,1,4,4,4,2,2,2,1,3,2,1,3,2,2,1,2,2,1,2,1,1,5,5,4,4,4,8,4,3,1,8,8,4,4,8,8,2,2,8,2,32,1,13,2,1,1,1,1,2,1,1,1,1,6,5,1,NA,18,2,NA
32,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,8,2,3,8,1,3,3,8,8,2,2,8,2,2,1,1,3,8,8,8,3,8,8,1,8,3,8,8,2,3,1,4,2,8,2,8,8,8,8,8,4,1,1,3,1,2,2,NA,2,8,8,8,8,4,2,2,1,3,1,4,2,3,1,3,2,1,2,2,1,3,2,8,2,5,3,2,3,3,2,4,1,3,5,3,2,2,1,2,2,2,1,60,1,13,2,1,2,1,2,2,1,1,1,1,4,4,1,NA,6,2,NA
33,1,9,1,1,1,3,9,1,1,3,1,1,1,2,2,2,1,4,2,1,8,8,8,8,8,8,8,8,1,1,1,8,1,8,8,3,8,8,1,8,8,8,1,8,4,3,1,1,1,2,2,3,8,8,8,8,1,1,1,1,1,1,1,1,1,2,2,2,8,2,2,1,1,2,2,1,1,1,1,1,1,1,1,8,1,8,1,4,4,2,4,4,2,4,4,1,8,8,4,1,1,1,1,1,2,2,33,1,13,2,2,1,1,1,2,2,2,1,1,4,7,4,2,6,2,NA
34,1,2,1,2,1,1,2,1,1,1,2,2,1,8,4,8,8,4,8,1,1,8,8,2,2,3,8,8,4,1,1,2,8,8,8,8,8,8,1,8,8,8,1,1,2,4,2,2,1,1,8,8,8,8,8,8,1,1,8,8,2,2,NA,2,8,8,8,8,1,2,2,1,4,4,3,1,1,1,1,1,3,1,2,1,1,2,1,4,2,2,1,3,3,2,3,1,8,5,4,8,9,8,1,1,2,2,62,1,13,1,2,2,1,1,2,1,1,1,1,4,8,6,4,6,2,2
35,1,1,1,1,1,3,1,1,1,2,1,3,2,9,9,9,1,4,8,1,1,3,8,8,8,8,8,9,1,1,1,1,8,9,8,8,8,8,1,9,8,8,1,2,1,2,3,1,1,1,8,8,8,8,8,8,1,1,8,2,2,1,1,2,8,8,8,8,3,2,2,8,8,8,8,3,2,3,1,1,3,1,2,3,1,2,2,2,2,1,2,2,2,3,2,3,2,8,4,2,1,2,1,1,2,2,40,1,13,2,2,2,1,2,2,2,2,2,1,5,7,5,4,6,2,NA
36,1,3,1,2,2,2,1,2,2,2,2,2,2,1,1,2,1,2,2,1,8,9,8,9,8,8,9,8,8,8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,8,1,8,8,8,8,8,8,8,1,1,8,2,1,2,2,8,8,8,8,8,8,2,2,8,1,2,1,4,8,8,8,1,8,8,8,1,8,1,2,8,8,8,8,8,8,8,8,8,8,2,8,8,8,8,1,8,2,32,1,13,2,2,2,1,1,2,2,2,2,1,3,3,5,2,9,2,NA
37,1,1,1,8,1,8,NA,8,NA,8,NA,2,2,2,8,8,2,8,8,1,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,2,8,8,8,8,8,8,8,8,8,8,1,8,8,8,2,1,2,2,2,8,8,8,1,8,2,8,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,3,8,8,5,8,3,8,8,2,8,8,8,8,8,8,8,8,8,2,60,1,13,2,2,2,1,2,2,2,2,2,1,1,3,5,3,9,2,NA
38,1,3,2,2,1,3,2,2,2,1,2,2,2,1,4,2,1,4,4,2,1,3,8,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,1,1,2,1,1,2,1,4,4,4,1,2,1,4,2,2,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,3,2,1,4,4,2,1,1,1,1,1,1,1,1,1,1,1,1,4,4,5,4,4,4,4,4,2,4,1,4,1,1,1,1,1,1,1,22,5,13,2,2,2,1,1,2,2,2,1,2,9,6,3,3,9,2,NA
39,2,4,1,4,2,1,2,1,1,2,1,2,2,2,4,4,1,4,8,4,2,3,1,1,1,1,1,8,1,1,1,1,3,8,1,3,2,2,1,2,2,2,2,1,4,1,2,1,1,1,2,4,8,4,8,8,4,1,1,8,2,1,2,2,1,4,2,4,2,1,2,2,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,3,4,4,5,3,3,4,4,1,4,4,4,2,4,4,1,1,1,1,20,1,13,2,2,2,1,1,2,2,2,1,1,4,3,3,3,9,2,NA
40,1,2,1,2,1,2,1,1,1,1,1,1,1,8,8,9,1,8,8,2,8,8,8,8,8,8,9,8,2,1,1,8,8,8,8,8,8,8,1,8,8,8,8,4,8,1,4,2,1,1,8,8,8,8,8,8,2,1,1,8,1,1,1,1,8,8,8,8,1,1,2,1,4,2,4,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,8,5,1,5,8,5,8,1,1,1,1,1,1,42,1,13,2,2,2,1,1,2,2,2,2,1,3,3,4,3,99,2,NA
41,1,2,1,1,1,8,NA,8,NA,8,NA,2,2,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,1,8,8,8,2,2,8,8,8,8,8,8,2,8,8,8,2,1,2,2,8,8,8,8,8,8,2,1,4,2,2,8,1,8,8,8,1,1,8,1,1,1,8,3,8,8,8,8,8,3,8,8,8,8,4,8,8,8,8,1,8,2,28,1,13,2,2,2,1,1,2,2,2,2,1,1,3,4,2,9,2,NA
42,1,2,3,2,1,3,1,2,2,2,1,1,1,8,8,8,9,4,8,1,8,8,8,8,8,8,8,8,3,8,1,1,8,8,8,8,8,8,8,8,8,9,8,4,4,1,1,1,1,2,8,8,8,8,8,8,2,8,8,8,2,1,2,2,8,8,8,8,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,8,1,1,1,4,2,4,4,8,3,3,8,1,8,8,4,8,8,8,1,1,2,1,60,1,13,1,2,2,1,1,2,1,2,2,1,1,2,2,2,9,2,NA
43,1,2,1,1,1,2,1,1,1,1,1,1,1,4,4,4,1,4,4,4,1,1,8,8,1,1,8,8,4,2,2,1,8,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,4,4,4,4,4,4,1,1,2,4,1,1,2,1,1,1,1,1,1,2,2,1,4,4,4,1,2,1,1,1,1,1,1,1,1,1,1,4,4,4,4,2,4,2,2,1,2,1,2,1,2,2,1,1,2,1,30,1,13,2,2,2,1,1,2,1,1,2,1,5,6,6,4,9,1,NA
44,2,3,2,3,2,1,2,2,2,2,2,2,2,4,4,8,1,4,3,2,1,1,8,8,8,8,1,8,4,2,2,1,8,8,8,8,8,8,1,8,8,8,2,4,4,3,1,1,1,1,8,8,8,8,8,8,2,2,2,4,2,1,2,2,8,8,8,8,1,2,2,1,4,2,1,1,1,1,1,1,1,1,8,1,1,1,1,3,4,2,3,2,8,4,4,2,2,2,2,1,4,4,1,1,8,2,22,1,13,2,2,2,1,2,2,2,2,2,1,4,7,7,4,98,2,NA
45,1,2,1,8,3,2,1,1,1,8,NA,1,1,8,2,8,1,4,8,4,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,9,1,8,8,8,8,4,8,1,1,1,1,1,8,8,8,8,8,8,4,8,8,8,2,1,2,2,8,8,8,8,1,1,2,1,4,2,4,1,1,1,8,1,1,1,1,1,4,1,1,5,4,4,4,4,8,4,4,1,8,8,4,8,8,8,8,1,8,2,50,1,13,1,1,2,1,1,2,1,2,1,1,1,3,4,4,9,2,NA
46,2,4,2,8,1,3,2,1,1,1,2,2,2,2,3,2,1,3,2,2,8,8,8,8,9,8,8,8,2,8,8,3,8,8,8,8,8,8,2,8,8,8,8,4,2,1,2,1,2,4,8,8,8,8,8,8,2,1,8,8,1,1,1,1,8,8,8,8,1,8,2,8,8,8,8,1,1,1,1,1,1,1,1,1,1,3,1,4,4,4,4,4,4,4,4,3,3,2,4,3,2,2,1,1,1,2,30,2,13,1,2,2,2,1,2,1,1,1,1,6,4,4,2,6,2,NA
